Date & time of file creation	5/7/2021 3:53 PM																																													
Raw data file path	C:\Users\user\Documents\Oysters larvael 2021\april 30 2021\may 7 2021 high temp high salinity 1-2-3- and 4-5-6_raw.txt																																													
Data file path	C:\Users\user\Documents\Oysters larvael 2021\april 30 2021\may 7 2021 high temp high salinity 1-2-3- and 4-5-6.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
5/7/2021/3:53:55 PM	M1   	1014.0	27.1	25.6250	28.20	96.93	25.9925	28.20	103.90	24.7500	28.20	100.55	25.7125	28.20	102.05	25.0300	28.27	99.83	26.0750	28.27	102.24	25.6450	28.27	101.25	24.7700	28.27	98.96	NaN	NaN	NaN	NaN	28.2000	28.20	OFF	28.2700	28.27	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:56 PM	M1   	1014.0	27.1	25.6125	28.20	97.05	26.0075	28.20	103.75	24.7600	28.20	100.45	25.7275	28.20	101.90	25.0250	28.27	99.88	26.0625	28.27	102.36	25.6575	28.27	101.12	24.7725	28.27	98.93	NaN	NaN	NaN	NaN	28.2000	28.20	OFF	28.2700	28.27	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:57 PM	M1   	1014.0	27.1	25.6150	28.20	97.02	26.0175	28.20	103.65	24.7800	28.20	100.24	25.7425	28.20	101.75	25.0075	28.27	100.05	26.0675	28.27	102.32	25.6475	28.27	101.23	24.7825	28.27	98.84	NaN	NaN	NaN	NaN	28.2000	28.20	OFF	28.2675	28.27	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:58 PM	M1   	1014.0	27.1	25.6038	28.20	97.13	25.9725	28.20	104.10	24.7538	28.20	100.51	25.7275	28.20	101.90	24.9975	28.26	100.17	26.0600	28.26	102.41	25.6400	28.26	101.31	24.7875	28.26	98.80	NaN	NaN	NaN	NaN	28.2000	28.20	OFF	28.2600	28.26	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:59 PM	M1   	1014.0	27.1	25.6212	28.20	96.96	25.9675	28.20	104.15	24.7600	28.20	100.45	25.7362	28.20	101.82	24.9950	28.26	100.19	26.0600	28.26	102.41	25.6350	28.26	101.36	24.7800	28.26	98.87	NaN	NaN	NaN	NaN	28.2000	28.20	OFF	28.2600	28.26	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:54:00 PM	M1   	1014.0	27.1	25.6363	28.20	96.82	25.9800	28.20	104.02	24.7563	28.20	100.48	25.7300	28.20	101.87	25.0150	28.26	99.99	26.0600	28.26	102.41	25.6325	28.26	101.39	24.7850	28.26	98.82	NaN	NaN	NaN	NaN	28.2037	28.20	OFF	28.2600	28.26	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:54:01 PM	M1   	1014.0	27.1	25.6225	28.21	96.94	25.9825	28.21	103.98	24.7550	28.21	100.48	25.7325	28.21	101.84	25.0325	28.26	99.82	26.0600	28.26	102.41	25.6675	28.26	101.04	24.8000	28.26	98.67	NaN	NaN	NaN	NaN	28.2100	28.21	OFF	28.2600	28.26	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:54:02 PM	M1   	1014.0	27.1	25.6075	28.21	97.08	25.9900	28.21	103.91	24.7650	28.21	100.38	25.7400	28.21	101.76	25.0350	28.26	99.79	26.0525	28.26	102.48	25.6500	28.26	101.21	24.7925	28.26	98.75	NaN	NaN	NaN	NaN	28.2100	28.21	OFF	28.2625	28.26	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:54:03 PM	M1   	1014.0	27.1	25.6350	28.21	96.82	25.9850	28.21	103.96	24.7575	28.21	100.46	25.7325	28.21	101.84	25.0225	28.27	99.90	26.0350	28.27	102.64	25.6100	28.27	101.59	24.7750	28.27	98.91	NaN	NaN	NaN	NaN	28.2100	28.21	OFF	28.2700	28.27	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:54:04 PM	M1   	1014.0	27.1	25.6425	28.21	96.75	25.9675	28.21	104.13	24.7850	28.21	100.18	25.7175	28.21	101.99	25.0300	28.27	99.83	26.0525	28.27	102.46	25.5925	28.27	101.77	24.7900	28.27	98.76	NaN	NaN	NaN	NaN	28.2100	28.21	OFF	28.2700	28.27	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:54:05 PM	M1   	1014.0	27.1	25.6300	28.21	96.87	25.9650	28.21	104.16	24.7900	28.21	100.13	25.7300	28.21	101.86	25.0350	28.27	99.78	26.0550	28.27	102.44	25.6350	28.27	101.35	24.7975	28.27	98.68	NaN	NaN	NaN	NaN	28.2100	28.21	OFF	28.2700	28.27	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:54:06 PM	M1   	1014.0	27.1	25.6500	28.21	96.68	25.9800	28.21	104.01	24.7600	28.21	100.43	25.7050	28.21	102.11	25.0450	28.27	99.68	26.0450	28.27	102.54	25.6400	28.27	101.30	24.8200	28.27	98.46	NaN	NaN	NaN	NaN	28.2100	28.21	OFF	28.2700	28.27	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:54:07 PM	M1   	1014.0	27.1	25.6275	28.21	96.89	25.9775	28.21	104.03	24.7600	28.21	100.43	25.7150	28.21	102.01	25.0250	28.27	99.88	26.0525	28.27	102.47	25.6175	28.27	101.52	24.8100	28.27	98.57	NaN	NaN	NaN	NaN	28.2100	28.21	OFF	28.2675	28.27	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:54:08 PM	M1   	1014.0	27.1	25.6425	28.21	96.75	25.9625	28.21	104.18	24.7500	28.21	100.53	25.7100	28.21	102.06	25.0150	28.26	99.99	26.0325	28.26	102.68	25.6350	28.26	101.36	24.7825	28.26	98.85	NaN	NaN	NaN	NaN	28.2100	28.21	OFF	28.2600	28.26	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:54:09 PM	M1   	1014.0	27.1	25.6300	28.21	96.87	25.9450	28.21	104.36	24.7300	28.21	100.73	25.7375	28.21	101.79	25.0325	28.26	99.82	26.0400	28.26	102.61	25.6225	28.26	101.49	24.7950	28.26	98.72	NaN	NaN	NaN	NaN	28.2100	28.21	OFF	28.2600	28.26	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:54:10 PM	M1   	1014.0	27.1	25.6550	28.21	96.63	25.9600	28.21	104.21	24.7575	28.21	100.46	25.7250	28.21	101.91	25.0350	28.26	99.79	26.0375	28.26	102.63	25.6400	28.26	101.31	24.8100	28.26	98.58	NaN	NaN	NaN	NaN	28.2100	28.21	OFF	28.2600	28.26	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:54:11 PM	M1   	1014.0	27.1	25.6425	28.21	96.74	25.9625	28.21	104.18	24.7475	28.21	100.55	25.7125	28.21	102.03	25.0275	28.26	99.87	26.0325	28.26	102.68	25.6675	28.26	101.04	24.8100	28.26	98.58	NaN	NaN	NaN	NaN	28.2125	28.21	OFF	28.2575	28.26	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:54:12 PM	M1   	1014.0	27.1	25.6450	28.22	96.71	25.9700	28.22	104.09	24.7375	28.22	100.64	25.7125	28.22	102.02	25.0500	28.25	99.66	26.0400	28.25	102.62	25.6575	28.25	101.15	24.8125	28.25	98.56	NaN	NaN	NaN	NaN	28.2200	28.22	OFF	28.2525	28.25	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
